时间,Twitter ID,用户名,正文,回复,转发,点赞
"2017-08-10, 7:27 PM",bittersweet9,Lisa Paternella,Tesla Model X with Falcon wing doors #tesla #teslamodel3 #teslamodelx #teslaenergy #teslacars… https://www.instagram.com/p/BXobbqQnluU/,0,0,0
"2017-08-10, 7:03 PM",HCdines,HC Dines,"Just taking a tour of the coolest factory on earth... no biggie..
#tesla #TeslaModel3 #socoolpic.twitter.com/ROPZXIhU6q",0,0,1
"2017-08-10, 5:04 PM",jeremybloom,Jeremy Bloom,Want to see how the #TeslaModel3 stacks up against its top #EV competition? We've got all the numbers right here.http://redgreenandblue.org/2017/08/09/tesla-model-3-comparison-vs-22-ev-competitors-straight-specs/#.WYzKIyXcW8I.twitter …,0,0,0
"2017-08-10, 4:35 PM",exworld3,eXWorld Tech News,"Tesla Model 3 annual demand could surpass 700,000 units, says Elon Musk http://electrek.co/2017/08/07/tesla-model-3-annual-demand-elon-musk/ … #teslamodel3",0,0,0
"2017-08-10, 4:33 PM",Donamezdotcom,Donamez,Tesla3.us is for sale. Great affordable #domain for #Tesla fans or an #onlinecardealer. #autodealerlive #TeslaModel3 #TeslaMotors #tesla3,0,1,0
"2017-08-10, 3:06 PM",filotas,beyzad,#teslamodel3 few links and some toughts about Telsa http://sentientfive.com/its-electric/,0,0,0
"2017-08-10, 2:29 PM",mvollmer1,Dr. Marcell Vollmer,Here are the biggest differences between @Tesla's Model 3 and Model S http://www.businessinsider.de/tesla-model-3-vs-model-s-specs-features-2017-8 … #Tesla #teslamodel3 #TeslaMotors,0,1,1
"2017-08-10, 2:25 PM",AkinSawyerr,Akin Sawyerr,"""I have been driving it and it drives like Porsche, but it cost the same as a Prius.” #Tesla #teslamodel3  https://electrek.co/2017/08/10/tesla-model-3-owner-interview/amp/ …",0,1,1
"2017-08-10, 2:18 PM",speedluxcom,SpeedLux,"Tesla Model 3 makes 258 HP according to EPA documents http://speedlux.com/tesla-model-3-makes-258-hp-according-epa-documents/ …

#TeslaModel3 #Model3 #EPA #tesla",0,0,2
"2017-08-10, 2:18 PM",EverCharge,EverCharge,How To Charge An Electric Car https://buff.ly/2wMsVfH  #TeslaModel3 #BoltEV,0,4,5
"2017-08-10, 1:55 PM",diegosoria888,Diego soria,Nuevas fotos de un #teslamodel3 plateado en un destination charger @slcuervo @CarlosDG100D @zero_emisiones @ds23ytube @foroelectricos @agu69pic.twitter.com/OmeowitwzC,0,3,5
"2017-08-10, 1:05 PM",RobynNola,Robyn Nola,Love this! @elonmusk #Tesla #TeslaMotors #nikolatesla #teslaquotes #thetruth #TeslaModel3 #ElonMuskpic.twitter.com/cTZjhtvHA3,0,0,2
"2017-08-10, 12:48 PM",twrpointwealth,Towerpoint Wealth,"The #future of #electricvehicles has arrived, according to @business, excited by a #testdrive of the #teslamodel3 

https://www.bloomberg.com/news/articles/2017-07-31/driving-tesla-s-model-3-changes-everything …",0,0,0
"2017-08-10, 12:33 PM",pluginamerica,Plug In America,".@elonmusk says #TeslaModel3 battery packs are ""over 50 kWh"" & ""about 75 kWh"" for the longer range http://bit.ly/2vhCTYD  #DriveElectric",0,5,5
"2017-08-10, 11:25 AM",hyttfors,Stefan Hyttfors,I'm in San Francisco Aug 13-16. Anyone who knows how/where to get a glimpse of the #teslamodel3 ? #Tesla (SP85D owner),0,0,1
"2017-08-10, 11:24 AM",GeekInfoNow,Bert Fentress,EPA docs reveal top Tesla Model 3 specs—or did they? http://dlvr.it/Pd7pDg  #Cars #teslamodel3,0,0,1
"2017-08-10, 12:48 PM",twrpointwealth,Towerpoint Wealth,"The #future of #electricvehicles has arrived, according to @business, excited by a #testdrive of the #teslamodel3 

https://www.bloomberg.com/news/articles/2017-07-31/driving-tesla-s-model-3-changes-everything …",0,0,0
"2017-08-10, 12:33 PM",pluginamerica,Plug In America,".@elonmusk says #TeslaModel3 battery packs are ""over 50 kWh"" & ""about 75 kWh"" for the longer range http://bit.ly/2vhCTYD  #DriveElectric",0,5,5
"2017-08-10, 11:25 AM",hyttfors,Stefan Hyttfors,I'm in San Francisco Aug 13-16. Anyone who knows how/where to get a glimpse of the #teslamodel3 ? #Tesla (SP85D owner),0,0,1
"2017-08-10, 11:24 AM",GeekInfoNow,Bert Fentress,EPA docs reveal top Tesla Model 3 specs—or did they? http://dlvr.it/Pd7pDg  #Cars #teslamodel3,0,0,1
"2017-08-10, 11:00 AM",The_PlugSeeker,The_PlugSeeker,"@elonmusk has with #teslamodel3 brought EV revolution to doorstep of companies like @Ford with heads still firmly in the ""fossil fuel"" sand",0,0,1
"2017-08-10, 10:59 AM",The_PlugSeeker,The_PlugSeeker,@elonmusk has essentially give a mighty kick up rear to other EV manufacturers to step up to the #teslamodel3 plate,0,1,11
